season,week,team,epa_per_play_allowed,plays_faced,epa_per_pass_allowed,pass_yds_allowed,pass_att_faced,epa_per_rush_allowed,rush_yds_allowed,carries_faced,pass_td_allowed,rush_td_allowed,rz_trips_faced,rz_td_allowed
2026,1,ARI,-0.24395901,51,-0.18692222,187.0,30,-0.32544014,81.0,21,1.0,1.0,11.0,2.0
2026,1,ATL,-0.3027765,61,-0.3239457,206.0,43,-0.2522056,61.0,18,1.0,0.0,6.0,1.0
2026,1,BAL,-0.24123657,53,-0.46160668,149.0,33,0.12237418,102.0,20,1.0,2.0,8.0,3.0
2026,1,BUF,0.0689077,73,0.036498606,257.0,41,0.11043184,124.0,32,2.0,2.0,11.0,4.0
2026,1,CAR,0.40938172,70,0.4492021,261.0,31,0.3777296,291.0,39,2.0,6.0,15.0,4.0
2026,1,CHI,0.18153584,62,0.25105855,353.0,40,0.055130895,125.0,22,3.0,2.0,10.0,4.0
2026,1,CIN,-0.18521388,51,-0.24725822,193.0,32,-0.08071813,90.0,19,0.0,2.0,9.0,2.0
2026,1,CLE,0.33816776,53,0.79256153,234.0,24,-0.037882198,129.0,29,4.0,0.0,3.0,2.0
2026,1,DAL,0.3688792,65,0.7068533,229.0,31,0.06072639,170.0,34,3.0,1.0,12.0,4.0
2026,1,DEN,0.16442734,64,-0.079373494,172.0,29,0.36643374,224.0,35,2.0,2.0,10.0,3.0
2026,1,DET,-0.030677019,86,-0.016098132,378.0,61,-0.06624949,91.0,25,3.0,1.0,13.0,4.0
2026,1,GB,-0.019597683,59,0.018529177,134.0,28,-0.05403485,110.0,31,3.0,2.0,14.0,4.0
2026,1,HOU,0.22925824,52,0.45421952,323.0,32,-0.13067976,87.0,20,2.0,2.0,9.0,1.0
2026,1,IND,0.32148394,60,0.37603113,304.0,26,0.2797713,205.0,34,1.0,4.0,11.0,3.0
2026,1,JAX,-0.1842705,49,-0.36426044,185.0,27,0.03662624,87.0,22,1.0,0.0,7.0,0.0
2026,1,KC,-0.34385344,46,-0.4494185,115.0,32,-0.10256191,62.0,14,1.0,0.0,4.0,1.0
2026,1,LA,0.17876756,64,0.14193022,205.0,34,0.22051655,174.0,30,3.0,0.0,10.0,2.0
2026,1,LAC,0.14414291,69,0.23718067,277.0,38,0.030096654,119.0,31,1.0,1.0,13.0,2.0
2026,1,LV,-0.2358899,50,-0.28843397,185.0,32,-0.1424782,74.0,18,0.0,1.0,5.0,1.0
2026,1,MIA,-0.039149143,64,0.013106485,160.0,30,-0.08525705,136.0,34,3.0,0.0,12.0,3.0
2026,1,MIN,-0.17482567,67,-0.05877491,353.0,46,-0.4290321,66.0,21,2.0,0.0,10.0,1.0
2026,1,NE,0.065603174,47,0.16801724,188.0,26,-0.06119518,98.0,21,1.0,0.0,6.0,0.0
2026,1,NO,0.00040982195,73,0.018428113,204.0,40,-0.021430528,165.0,33,2.0,2.0,17.0,4.0
2026,1,NYG,0.22067006,52,0.30532068,175.0,34,0.060774438,69.0,18,2.0,1.0,9.0,3.0
2026,1,NYJ,-0.11862377,49,-0.21003582,127.0,35,0.10990633,68.0,14,1.0,0.0,3.0,1.0
2026,1,PHI,0.059896793,68,0.10849544,163.0,36,0.005223331,132.0,32,2.0,1.0,16.0,3.0
2026,1,PIT,-0.32100573,57,-0.6063287,118.0,26,-0.08170253,120.0,31,1.0,0.0,0.0,0.0
2026,1,SEA,-0.10962827,67,-0.12837094,168.0,36,-0.08786257,109.0,31,1.0,0.0,2.0,1.0
2026,1,SF,-0.26463893,56,-0.39385217,168.0,28,-0.13542566,123.0,28,0.0,1.0,9.0,1.0
2026,1,TB,-0.0015601626,62,-0.07297092,245.0,36,0.09731626,107.0,26,1.0,1.0,15.0,2.0
2026,1,TEN,0.16835013,60,0.40645218,215.0,24,0.009615412,155.0,36,0.0,2.0,7.0,2.0
2026,1,WAS,0.07101637,51,0.045477748,182.0,28,0.10210686,138.0,23,3.0,0.0,6.0,2.0
